date,equity_close,gold_close
2007-01-03,1416.5999755859375,62.279998779296875
2007-01-04,1418.3399658203125,61.650001525878906
2007-01-05,1409.7099609375,60.16999816894531
2007-01-08,1412.8399658203125,60.47999954223633
2007-01-09,1412.1099853515625,60.849998474121094
2007-01-10,1414.8499755859375,60.59000015258789
2007-01-11,1423.8199462890625,60.630001068115234
2007-01-12,1430.72998046875,62.16999816894531
2007-01-16,1431.9000244140625,61.970001220703125
2007-01-17,1430.6199951171875,62.63999938964844
2007-01-18,1426.3699951171875,62.2599983215332
2007-01-19,1430.5,63.0
2007-01-22,1422.949951171875,62.720001220703125
2007-01-23,1427.989990234375,64.2300033569336
2007-01-24,1440.1300048828125,64.33000183105469
2007-01-25,1423.9000244140625,64.05999755859375
2007-01-26,1422.1800537109375,64.16999816894531
2007-01-29,1420.6199951171875,63.77000045776367
2007-01-30,1428.8199462890625,64.22000122070312
2007-01-31,1438.239990234375,64.83000183105469
2007-02-01,1445.93994140625,65.22000122070312
2007-02-02,1448.3900146484375,64.27999877929688
2007-02-05,1446.989990234375,64.30999755859375
2007-02-06,1448.0,64.79000091552734
2007-02-07,1450.02001953125,64.62999725341797
2007-02-08,1448.31005859375,65.5199966430664
2007-02-09,1438.06005859375,66.12000274658203
2007-02-12,1433.3699951171875,65.66999816894531
2007-02-13,1444.260009765625,65.83999633789062
2007-02-14,1455.300048828125,66.37000274658203
2007-02-15,1456.81005859375,66.41000366210938
2007-02-16,1455.5400390625,66.36000061035156
2007-02-20,1459.6800537109375,65.30999755859375
2007-02-21,1457.6300048828125,67.3499984741211
2007-02-22,1456.3800048828125,67.1500015258789
2007-02-23,1451.18994140625,67.72000122070312
2007-02-26,1449.3699951171875,68.0999984741211
2007-02-27,1399.0400390625,65.41000366210938
2007-02-28,1406.8199462890625,66.4800033569336
2007-03-01,1403.1700439453125,65.81999969482422
2007-03-02,1387.1700439453125,63.709999084472656
2007-03-05,1374.1199951171875,62.93000030517578
2007-03-06,1395.4100341796875,64.1500015258789
2007-03-07,1391.969970703125,64.30000305175781
2007-03-08,1401.8900146484375,64.4800033569336
2007-03-09,1402.8399658203125,64.25
2007-03-12,1406.5999755859375,64.37000274658203
2007-03-13,1377.949951171875,63.720001220703125
2007-03-14,1387.1700439453125,63.939998626708984
2007-03-15,1392.280029296875,63.97999954223633
2007-03-16,1386.949951171875,64.62000274658203
2007-03-19,1402.06005859375,64.73999786376953
2007-03-20,1410.93994140625,65.2699966430664
2007-03-21,1435.0400390625,65.81999969482422
